"","column_names","column_sums","avg_rat","week"
"18.53","18:30",10445,3.79879518072289,"Sunday"
"193","19:00",10473,3.79927265380341,"Sunday"
"19.53","19:30",10101,3.76744651069786,"Sunday"
"203","20:00",10095,3.75784798627233,"Sunday"
"20.53","20:30",9083,3.78272866632601,"Sunday"
"213","21:00",8967,3.77912919051513,"Sunday"
"21.53","21:30",6808,3.75421319796954,"Sunday"
"223","22:00",6436,3.77677133655395,"Sunday"
"22.53","22:30",4362,3.73842069033337,"Sunday"
"233","23:00",4273,3.7231336763421,"Sunday"
"23.53","23:30",3382,3.71121718377088,"Sunday"
